city,idx,name,img,w,h,ratio,bytes,page,credit,reason
belfast,2,Peace Walls and Political Murals,images/landmarks/belfast-peace-walls-murals.webp,640,367,1.744,62602,https://en.wikipedia.org/wiki/Peace_lines,,low-res
nakuru,4,Hyrax Hill Prehistoric Site and Museum,images/landmarks/nakuru-hyrax-hill-prehistoric-site.webp,377,215,1.753,20144,https://commons.wikimedia.org/wiki/File:Hyrax_Hill_Museum.jpg,,low-res+small-file
manzanillo,4,Playa Miramar,images/landmarks/manzanillo-playa-miramar.webp,1200,676,1.775,20914,https://commons.wikimedia.org/wiki/File:Sunset_at_Playa_Miramar_-_Manzanillo_-_Colima_-_Mexico_-_01_(52572660035).jpg,,small-file
guatemala-city,9,Mercado Central,images/landmarks/guatemala-city-mercado-central.webp,480,270,1.778,19670,https://commons.wikimedia.org/wiki/File:Mercado_central.jpg,,low-res+small-file
murree,8,Bhurban,images/landmarks/murree-bhurban.webp,720,405,1.778,24124,"https://commons.wikimedia.org/wiki/File:Bhurban,_Murree.jpg",,low-res+small-file
natal,2,Genipabu Dunes and Lagoon,images/landmarks/natal-genipabu-dunes-and-lagoon.webp,960,539,1.781,11436,https://commons.wikimedia.org/wiki/File:Dunas_de_Genipabu_em_Natal_-_Rio_Grande_do_Norte.jpg,,small-file
durban,6,Suncoast Casino and Beach,images/landmarks/durban-suncoast-casino-and-beach.webp,718,403,1.782,23580,https://commons.wikimedia.org/wiki/File:Suncoast_casino_durban.jpg,,low-res+small-file
lome,5,Palais de Lomé,images/landmarks/lome-palais-de-lome.webp,464,260,1.785,23992,https://commons.wikimedia.org/wiki/File:Palais_de_Lomé.jpg,,low-res+small-file
medina,8,Hejaz Railway Museum (Al-Madinah Station),images/landmarks/medina-hejaz-railway-museum.webp,669,374,1.789,36738,https://commons.wikimedia.org/wiki/File:Madinah-station.JPG,,low-res
goma,2,Lake Kivu Waterfront,images/landmarks/goma-lake-kivu-waterfront.webp,775,433,1.79,44838,"https://commons.wikimedia.org/wiki/File:Goma,_Lake_Kivu,_DRC_(Zaire_-_Congo),_Photo_by_Sascha_Grabow.jpg",,low-res
jerusalem,7,Garden of Gethsemane,images/landmarks/jerusalem-garden-of-gethsemane.webp,592,330,1.794,23280,https://commons.wikimedia.org/wiki/File:Garden_of_Gethsemane_(9088060226).jpg,,low-res+small-file
