city,idx,name,img,w,h,ratio,page
mombasa,0,Fort Jesus,images/landmarks/mombasa-fort-jesus.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Fort_Jesus,_Mombasa1.jpg"
monrovia,9,Monrovia's CeCe Beach,images/landmarks/monrovia-monrovia-s-cece-beach.webp,1280,1707,0.75,https://commons.wikimedia.org/wiki/File:Cece%27s_Beach_Trip_(2)_(48868810293).jpg
monterrey,1,Faro del Comercio,images/landmarks/monterrey-faro-del-comercio.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Faro_del_Comercio_Monterrey.JPG
monterrey,6,Cola de Caballo (Horsetail Falls),images/landmarks/monterrey-cola-de-caballo.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Cola_de_Caballo,_Santiago,_Nuevo_Leon.JPG"
morelia,9,Museo Casa Natal de Morelos,images/landmarks/morelia-museo-casa-natal-de-morelos.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Roses_in_Garden_-_Museo_Casa_Natal_de_Morelos_-_Morelia_-_Michoacan_-_Mexico_(20308564898).jpg
morondava,0,Avenue of the Baobabs,images/landmarks/morondava-avenue-of-the-baobabs.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Adansonia_grandidieri04.jpg
morondava,5,Tsingy de Bemaraha National Park,images/landmarks/morondava-tsingy-de-bemaraha-national-park.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Tsingy_de_Bemaraha_National_Park,_Madagascar.jpg"
moshi,1,Materuni Waterfalls,images/landmarks/moshi-materuni-waterfalls.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Materuni_Falls,_Uru_mashariki.jpg"
mysore,5,"Monolithic Nandi Statue, Chamundi Hill",images/landmarks/mysore-monolithic-nandi-statue-chamundi-hill.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Statue_inside_chamundi_Hills_temple_mysore.jpg
n-djamena,0,Grande Mosquée (Mosquée Roi Fayçal),images/landmarks/ndjamena-grande-mosquee-roi-faycal.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Vue_du_Mosqu%C3%A9e_Roi_Faycal_de_N%27Djam%C3%A8na.jpg
nablus,1,Jacob's Well,images/landmarks/nablus-jacobs-well.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Jacob%27s_Well_in_2013.jpg
nagasaki,3,Ōura Cathedral,images/landmarks/nagasaki-oura-cathedral.webp,1200,1599,0.75,https://commons.wikimedia.org/wiki/File:Oura_Cathedral_20180623.jpg
naha,5,Tsuboya Pottery District,images/landmarks/naha-tsuboya-pottery-district.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:JP_%E6%B2%96%E7%B9%A9_Okinawa_%E9%82%A3%E9%9C%B8_Naha_Tsuboya_Pottery_Store_n_Museum_February_2026_N13P_03.jpg
najaf,3,Old City Souq (Grand Bazaar of Najaf),images/landmarks/najaf-old-city-souq.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Najaf_2.jpg
najaf,7,Al-Hannana Mosque,images/landmarks/najaf-al-hannana-mosque.webp,960,1280,0.75,https://commons.wikimedia.org/wiki/File:%D9%85%D8%B3%D8%AC%D8%AF_%D8%A7%D9%84%D8%AD%D9%86%D8%A7%D9%86%D8%A9_%D9%81%D9%8A_%D8%A7%D9%84%D9%86%D8%AC%D9%81_%D8%A7%D9%84%D8%A3%D8%B4%D8%B1%D9%81.jpg
nakuru,1,Menengai Crater,images/landmarks/nakuru-menengai-crater.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Menengai_crater,Nakuru_kenya.jpg"
naples,3,Teatro di San Carlo,images/landmarks/naples-teatro-di-san-carlo.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Teatro_di_San_Carlo_Napoli.jpg
naples,8,Cappella Sansevero,images/landmarks/naples-cappella-sansevero.webp,375,500,0.75,https://en.wikipedia.org/wiki/Cappella%20Sansevero
nara-shi,3,Kōfuku-ji Temple,images/landmarks/nara-shi-kofuku-ji-temple.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Kofukuji_five_story_pagoda.jpg
nashville,5,Tennessee State Capitol,images/landmarks/nashville-tennessee-state-capitol.webp,1200,1600,0.75,https://commons.wikimedia.org/wiki/File:Tennessee_state_capitol_2009.jpg
nelson,7,Queens Gardens and Albion Square,images/landmarks/nelson-queens-gardens-and-albion-square.webp,1200,1600,0.75,"https://commons.wikimedia.org/wiki/File:Looking_into_the_Queens_Gardens,_Nelson.jpg"
